,BrandName,ProductName,ProductPrice,ProductRating,ProductNoOfratings
0,Casio,Youth Digital Analog-Digital Black Dial Men's Watch - HDC-700-3AVDF (D155),"3,995",4.3 out of 5 stars,(821)
1,Giordano,Designer Multifunction Watch for Men with Square Dial and Leather Band – Elegant Casual & Formal Style,"5,486",4.0 out of 5 stars,(122)
2,Titan,Wedding Bandhan Analog Silver Dial Unisex Watch NM17732603KM01/NN17732603KM01/NP17732603KM01,"7,476",4.4 out of 5 stars,(131)
3,Michael Kors,"Michael Kors Stainless Steel Women's Analog Rose Dial Rose Gold Strap Watch, Mk5799","22,995",4.5 out of 5 stars,(3.2K)
4,Armani Exchange,Stainless Steel Analog Blue Dial Men's Watch-AX2457,"23,995",3.9 out of 5 stars,(15)
5,Noise,"Noise Pulse 2 Pro [New Launch] 1.8"" Vibrant Display, Bluetooth Calling Smart Watch for Men & Women, 7 Days Battery Life, Metallic Finish, Built-in Games, Voice Assistance, Health Suite (Elite Black)","1,699",3.9 out of 5 stars,(24.5K)
6,Casio,Analog-Digital Black Dial Men's Watch-GA-2100-1ADR (G986),"9,195",4.5 out of 5 stars,(617)
7,Titan,Grandmaster Analog Black Dial Men's Watch NM1787KM02/NN1787KM02/NP1787KM02,"10,727.",3.9 out of 5 stars,(59)
8,Fossil,Fossil Gen 6 Display Wellness Edition Pink Smartwatch FTW4071,"11,997",3.3 out of 5 stars,(1.5K)
9,OnePlus,"OnePlus Watch 2 with Wear OS 4,Snapdragon W5 Chipset,Upto 100hrs battery life,1.43’’ AMOLED Display,Stainless Steel & Sapphire Crystal build,Dual Frequency GPS,5 ATM, IP68 & BT Calling (Radiant Steel)","13,999",4.3 out of 5 stars,(521)
10,Fossil,"Fossil Stainless Steel Luther Analog Black Dial Men's Watch-Bq2328, Band Color:Silver","10,146",4.2 out of 5 stars,(37)
11,Fastrack,Fastrack Vyb 6.0 Horizon Quartz Navy Blue Shaped Dial Men's Watch | Stainless Steel Strap Material Analog | Guys Analog Watches - FV30031KM01,"1,493",3.9 out of 5 stars,(12)
12,Google,"Google Pixel Watch 2 with The Best of Fitbit Heart Rate Tracking, Stress Management, Safety Features - Android Smartwatch - Obsidian Black Active Band - Wi-Fi","19,999",4.0 out of 5 stars,(208)
13,Titan,Titan Bandhan Quartz Analog with Day & Date Silver Dial Brown Leather Strap Couple Watch - NT17742565WL01,"8,496",4.5 out of 5 stars,(38)
14,boAt,"Boat Wave Call 3 Smartwatch 1.83” HD Display with Animated Watch Faces; BT Calling, Functional Crown, Multiple Sports Modes, IP68, HR, SpO2 Monitor, Smart Watches for Men & Women (Bold Black)","1,399",4.1 out of 5 stars,(25.1K)
15,TIMEX,Automatic Watch for Man with Blue Round Dial & Blue Leather Strap Band Water Resistant Men's Wrist Watches,"7,747.",4.2 out of 5 stars,(95)
16,Sonata,Sonata Poze 6 Cinnamon City Ladies Quartz White MOP Round Dial Women's Watch | Stainless Steel Strap Material | Watches for Women Analog - SP80133WM01,"1,690.",5.0 out of 5 stars,(2)
17,Fossil,Fossil Chronograph Black Dial and Band Men's Stainless Steel Watch-BQ2364,"8,121",4.2 out of 5 stars,(1.6K)
18,Apple,Apple Watch Ultra 3 GPS + Cellular 49mm Black Titanium Case with Black Titanium Milanese Loop - Medium,"1,04,900",4.0 out of 5 stars,(2)
19,Fastrack,Casual Analog White Dial Men's Watch-NL3121SM01/NP3121SM01,"1,995",4.1 out of 5 stars,(4.9K)
